Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
CarFusion,CarFusion: Combining Point Tracking and Part Detection for Dynamic 3D Reconstruction of Vehicles,2018,CVPR,https://openaccess.thecvf.com/content_cvpr_2018/papers/Reddy_CarFusion_Combining_Point_CVPR_2018_paper.pdf,https//www.cs.cmu.edu/~ILIM/projects/IM/CarFusion/cvpr2018/index.html,reconstruction of multiple dynamic rigid objects (eg. vehicles) observed from wide-baseline uncalibrated and unsynchronized cameras,We provide manual annotations of 14 semantic keypoints for 100000 car instances from 53000 images captured from 18 moving cameras at Multiple intersections in Pittsburgh,outdoor,real,RGB camera,0,Vehicle Pose Estimation; 3D Pose Estimation; Pose Estimation; 3D Car Instance Understanding; Multi-View Learning,8,2,,c
CASR (Cyclist Arm Signal Recognition),Intention Recognition of Pedestrians and Cyclists by 2D Pose Estimation,2019,T-ITS,https://arxiv.org/pdf/1910.03858v1,https//hub.com/VRU-intention/casr,dataset for cyclist arm signal recognition in videos,contains 219 annotated arm signal actions on videos of approximately 10 seconds each; containing one or two actions per video,outdoor,real,RGB images from Daimler video sequences,0,Intention Recognition,1,0,,c
Chairs (Aubry et al.),Seeing 3D Chairs: Exemplar Part-based 2D-3D Alignment using a Large Dataset of CAD Models,2014,CVPR,https://openaccess.thecvf.com/content_cvpr_2014/papers/Aubry_Seeing_3D_Chairs_2014_CVPR_paper.pdf,https//www.di.ens.fr/willow/research/seeing3Dchairs/,rendered images of around 1000 different three-dimensional chair models,1393 high-quality 3D chair models; variety of chair styles; Given an input image the algorithm searches a database of 1393 3D CAD chair models to detect any depicted chairs in the image,indoor,synthetic,3D CAD models,0,Sketch-Based Image Retrieval,109,1,,c
Chairs (Jiang et al.),Full-Body Articulated Human-Object Interaction,2023,ICCV,https://arxiv.org/pdf/2212.10621v3,https//hub.com/jnnan/chairs,large-scale motion-captured of Full-Body Articulated Human-Object Interact (f-AHOI) dataset,17.3 hours of versatile interactions between 46 participants and 81 articulated and rigid sittable objects; 3D meshes of both humans and articulated objects during the entire interactive process; as well as realistic and physically plausible full-body interactions; 3D meshes of these objects were captured using the Scaniverse app on an iPad Pro; motion capturing (MoCap) interactions,other,real,multi-view RGB-D sequences; 5 hybrid trackers on objects; 17 IMUs on participants,0,Pose Estimation; Action Recognition; Motion Synthesis; Human-Object Interaction Detection,3,0,,c
ChangeSim,ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments,2021,IROS,https://arxiv.org/pdf/2103.05368v2,https//hub.com/SAMMiCA/ChangeSim,dataset aimed at online scene change detection (SCD) and more,6 maps (12 sequences; 2 sequences for each map) as the training set and the remaining 4 maps (8 sequences; 2 sequences for each map) as the test set,indoor,synthetic,Unreal Engine 4 (UE4) to implement the virtual environment,24,(Scene) Change Detection,7,2,,c
CITR Dataset (& DUT dataset),Top-view Trajectories: A Pedestrian Dataset of Vehicle-Crowd Interaction from Controlled Experiments and Crowded Campus,2019,IV,https://arxiv.org/pdf/1902.00487v2,https//hub.com/dongfang-steven-yang/vci-dataset-citr,two pedestrian trajectory datasets; CITR dataset and DUT dataset -> CITR Dataset consists of experimentally designed fundamental VCI (Vehicle-Crowd-Interaction) scenarios (front; back; and lateral VCIs) and provides unique ID for each pedestrian; DUT dataset gives two ordinary and natural VCI scenarios in crowded university campus,CITR: 6 scenarios; pedestrian-only and VCI scenarios; 38 video clips in total; which include approximate 340 pedestrian trajectories; DUT:  17 clips of crosswalk scenarios and 11 clips of shared space scenarios; including 1793 trajectories; Some of the clips contains multiple VCIs; i.e.; more than 2 vehicles interacting with pedestrians simultaneousl,outdoor,real,"DJI
Phamton 3 SE Drone with a down-facing camera (RGB)",0,Autonomous Vehicles; Autonomous Driving; Motion Prediction,1,0,,c
Cityscapes,The Cityscapes Dataset for Semantic Urban Scene Understanding,2016,CVPR,https://arxiv.org/pdf/1604.01685v2,https//www.cityscapes-dataset.com/dataset-overview/,large-scale database which focuses on semantic understanding of urban street scenes,semantic; instance-wise; and dense pixel annotations for 30 classes grouped into 8 categories (flat surfaces; humans; vehicles; constructions; objects; nature; sky; and void); around 5000 fine annotated images and 20000 coarse annotated ones; Data was captured in 50 cities during several months; daytimes; and good weather conditions,outdoor,real,CMOS 2 MP sensors (OnSemi AR0331) (RGB),30,(2D) Semantic Segmentation; Image Generation; Instance Segmentation; Scene Parsing; Image-to-Image Translation; Depth Estimation; Panoptic Segmentation; Video Prediction…,3603,54,,c
Cityscapes 3D,Cityscapes 3D: Dataset and Benchmark for 9 DoF Vehicle Detection,2020,arXiv,https://arxiv.org/pdf/2006.07864v1,https//hub.com/mcordts/cityscapesScripts,extends the original Cityscapes dataset with 3D bounding box annotations for all types of vehicles,Cityscapes + 3D bounding boxes,outdoor,real,CMOS 2 MP sensors (OnSemi AR0331) (RGB),8,Semantic Segmentation; 3D Object Detection; Monocular Depth Estimation,11,3,,c
Cityscapes Panoptic Parts,Part-aware Panoptic Segmentation,2021,CVPR,https://arxiv.org/pdf/2106.06351v1,https//hub.com/pmeletis/panoptic_parts,part-aware panoptic segmentation annotations for the Cityscapes dataset,Cityscapes + part-aware panoptic segmentation annotiations; 23 part-level semantic classes,outdoor,real,CMOS 2 MP sensors (OnSemi AR0331) (RGB),23,Scene Understanding; (Part-Aware) Panoptic Segmentation; Human Part Segmentation,8,1,,c
Clear Weather (DENSE),Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,2020,CVPR,https://arxiv.org/pdf/1902.08913v3,https//www.uni-ulm.de/en/in/driveu/projects/dense-datasets#c811669,object detection dataset in challenging adverse weather conditions,12000 samples in real-world driving scenes; 1500 samples in controlled weather conditions within a fog chamber; different weather conditions (like fog; snow; rain); acquired by over 10;000 km of driving in northern Europe; 100k objects were labeled with 2D / 3D bounding boxes,outdoor,real,RGB cameras (2 OnSemi AR0230 imagers); NIR camera ( BrightwayVision BrightEye); (FMCW) radar; LiDAR (Velodyne HDL64 S3D and VLP32C); Q1922 FIR camera; environmental sensors (Airmar WX150 weather station),0,(2D / 3D) Object Detection ,32,2,,c
COCO-O(ut-of-distribution),COCO-O: A Benchmark for Object Detectors under Natural Distribution Shifts,2023,ICCV,https://arxiv.org/abs/2307.12730,https//cocodataset.org/#home,Benchmark for Object Detectors under Natural Distribution Shifts ,6 domains (sketch; cartoon; painting; weather; handmake; tattoo) of COCO objects which are hard to be detected by most existing detectors; 6782 images and 26624 labelled bounding boxes,other,real,RGB images from the Internet,0,(2D) Object Detection,43,1,,c
COCO-Stuff (Common Objects in COntext-stuff),COCO-Stuff: Thing and Stuff Classes in Context,2018,CVPR,https://arxiv.org/pdf/1612.03716v4,https//hub.com/nightrome/cocostuff,dataset for scene understanding tasks like semantic segmentation; object detection and image captioning; constructed by annotating the original COCO dataset; which originally annotated things while neglecting stuff annotations,164k images that span over 172 categories including 80 things; 91 stuff; and 1 unlabeled class,mixed,real,COCO RGB images,172,Semantic Segmentation; Image-to-Image Translation…,313,20,,c
Completion3D,TopNet: Structural Point Cloud Decoder,2019,CVPR,https://openaccess.thecvf.com/content_CVPR_2019/papers/Tchapmi_TopNet_Structural_Point_Cloud_Decoder_CVPR_2019_paper.pdf,https//completion3d.stanford.edu,The Completion3D benchmark is a dataset for evaluating state-of-the-art 3D Object Point Cloud Completion methods; Given a partial 3D object point cloud the goal is to infer a complete 3D point cloud for the object,subset of the Shapenet dataset; derived from the dataset in Yuan et al.; The ground-truth was generated by uniformly sampling 16384 points on the mesh surfaces and the partial point clouds were generated by back-projecting 2.5D depth images into 3D,other,synthetic,subset of the Shapenet dataset -> raw 3D model data  from public online repositories and existing research datasets,8,Point Cloud Completion,33,1,,c
ContactDB,ContactDB: Analyzing and Predicting Grasp Contact via Thermal Imaging,2019,CVPR,https://arxiv.org/pdf/1904.06830v1,https//hub.com/samarth-robo/contactdb_utils,dataset of contact maps for household objects that captures the rich hand-object contact that occurs during grasping; enabled by use of a thermal camera,Participants in our study grasped 3D printed objects with a post-grasp functional intent. ContactDB includes 3750 3D meshes of 50 household objects textured with contact maps and 375K frames of synchronized RGB-D+thermal images,other,real,FLIR Boson 640 thermal camera; Kinect v2 RGB-D sensor,0,Grasp Contact Prediction,21,1,,c
CP2A dataset (CARLA Pedestrian Action Anticipation dataset),Is attention to bounding boxes all you need for pedestrian action prediction?,2021,IV,https://arxiv.org/pdf/2107.08031v3,https//hub.com/linaashaji/CP2A,simulated dataset for pedestrian action anticipation collected using the CARLA simulator,they generated the data in two urban environments available in the CARLA simulator: Town02 and Town03; total number of simulated pedestrians is nearly 55k; equivalent to 14M bounding boxes samples; crossing behavior represents 25% of the total pedestrians; nearly 50k pedestrian sequences;  nearly 220k observation sequences,outdoor,synthetic,Simulated with CARLA,0,Action Anticipation,1,0,,c
CrossLoc,CrossLoc: Scalable Aerial Localization Assisted by Multimodal Synthetic Data,2022,CVPR,https://arxiv.org/pdf/2112.09081v5,https//datadryad.org/stash/dataset/doi10.5061/dryad.mgqnk991c,CrossLoc benchmark datasets—a multimodal aerial sim-to-real data available for flights above nature and urban terrains,multimodal aerial sim-to-real data; workflow produces synthetic RGB images and the geo-referenced scene coordinates as raw output; The semantic labels have seven classes (sky; ground; vegetation; building; water; bridge; others),outdoor,synthetic,synthetic RGB images,7,Camera Localization; Visual Localization,1,0,,c
DADA-2000,DADA: Driver Attention Prediction in Driving Accident Scenarios,2019,T-ITS,https://arxiv.org/pdf/1912.12148v2,https//hub.com/JWFan/LOTVS-DADA,large-scale benchmark for driver attention in driving accident scenarios (DADA),2000 video sequences; laborious annotation for driver attention (fixation; saccade; focusing time); accident objects/intervals; and accident categories (54 categories); Senso Motoric Instruments (SMI) RED250 desktop-mounted infrared eye tracker was used to track eye movements,outdoor,real,"RGB video frames; Senso Motoric Instruments (SMI) RED250 desktop-mounted
infrared eye tracker",54,Semantic Segmentation; Autonomous Vehicles; Scene Understanding,14,0,,c
DAIR-V2X,DAIR-V2X: A Large-Scale Dataset for Vehicle-Infrastructure Cooperative 3D Object Detection,2022,CVPR,https://arxiv.org/pdf/2204.05575v1,https//hub.com/AIR-THU/DAIR-V2X,large-scale; multi-modality; multi-view dataset from real scenarios for VICAD (Vehicle-Infrastructure Cooperative Autonomous Driving),71254 LiDAR frames and 71254 Camera frames; all frames are captured from real scenes with 3D annotations,outdoor,real,Infrastructure Sensors (LiDAR; RGB camera); Vehicle Sensors (LiDAR; RGB Camera; GPS & IMU),10,3D Object Detection,38,2,,c
DALES (Dayton Annotated LiDAR Earth Scan),DALES: A Large-scale Aerial LiDAR Data Set for Semantic Segmentation,2020,CVPR,https://arxiv.org/pdf/2004.11985v1,https//udayton.edu/engineering/research/centers/vision_lab/research/was_data_analysis_and_processing/dale.php,Large-scale Aerial LiDAR Data Set for Semantic Segmentation,over a half-billion hand-labeled points spanning 10 square kilometers of area and eight object categories; Point cloud data collected from an Aerial Laser Scanner (ALS),outdoor,real,aerial LiDAR data,8,Panoptic Segmentation; 3D Semantic Segmentation,26,2,,c
DeformingThings4D,4DComplete: Non-Rigid Motion Estimation Beyond the Observable Surface,2021,ICCV,https://openaccess.thecvf.com//content/ICCV2021/papers/Li_4DComplete_Non-Rigid_Motion_Estimation_Beyond_the_Observable_Surface_ICCV_2021_paper.pdf,hubhttps//hub.com/rabbityl/DeformingThings4D,synthetic dataset containing animation sequences containing humanoids and animals,1972 animation sequences spanning 31 categories of humanoids and animals; 200 animations for humanoids; 1772 animations for animals,other,synthetic,3D characters obtained from Adobe Mixamo,31,Scene Flow Estimation; Non-rigid tracking / registration; shape and motion completion; learning riggings from observation; generic non-rigid reconstruction ,38,1,,c
Dense Fog (DENSE),Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,2020,CVPR,https://arxiv.org/pdf/1902.08913v3,https//www.uni-ulm.de/en/in/driveu/projects/dense-datasets#c811669,object detection dataset in challenging adverse weather conditions,12000 samples in real-world driving scenes; 1500 samples in controlled weather conditions within a fog chamber; different weather conditions (like fog; snow; rain); acquired by over 10;000 km of driving in northern Europe; 100k objects were labeled with 2D / 3D bounding boxes,outdoor,real,RGB cameras (2 OnSemi AR0230 imagers); NIR camera ( BrightwayVision BrightEye); (FMCW) radar; LiDAR (Velodyne HDL64 S3D and VLP32C); Q1922 FIR camera; environmental sensors (Airmar WX150 weather station),0,(2D / 3D) Object Detection ,17,2,,c
